name,address,postal_code,latitude,longitude,SMSQ,operatingHours
Tampines One Branch,Tampines 1 - 10 TAMPINES CENTRAL 1 #03-08/09,Singapore 529536,1.35426,103.945028,8318 4350,Business Hours:<br />Mon - Fri: 10.00am to 6.00pm<br />Sat: 10.00am to 2.30pm<p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Hougang Branch,Blk 204 Hougang Street 21 #01-107/111,Singapore 530204,1.35885,103.88492,8318 4332,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Heartland Mall Branch,Blk 205 Hougang Street 21 #03-00 Heartland Mall,Singapore 530205,1.35934,103.88521,8318 4366,<p>Business Hours:<br />Mon - Sat: 11:00 AM - 7:00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Hougang Central Branch,Blk 805 Hougang Central #01-102/104,Singapore 530805,1.37052,103.89425,8318 4367,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Compass One Branch ,1 Sengkang Square #02-05/06 Compass One Mall ,Singapore 545078,1.39227,103.89477,8318 4364,Business Hours:<br />Mon - Sat: 11.00 AM - 7.00 PM<br />Sundays and Public Holidays: Closed<br /><br /><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Serangoon Central Branch,Blk 254 Serangoon Central Drive #01-203,Singapore 550254,1.35463,103.87099,8318 4377,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Serangoon Garden Branch,1 Maju Avenue #01-12/13/14/15 Serangoon Garden Village,Singapore 556679,1.36522,103.86526,8318 4345,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Ang Mo Kio Central Branch,Blk 712a Ang Mo Kio Avenue 6 #01-4066,Singapore 560712,1.37143,103.8471,8318 4357,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>POSB Ang Mo Kio Central Branch will be closed for renovation on 22 April 2018 (Sunday) and re-open on 2 July 2018 (Monday). Our last day of operation is on 21 April 2018 (Saturday).</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
ITE College Central Branch,2 Ang Mo Kio Drive Blk A #01-10,Singapore 567720,1.37775,103.85536,8318 4391,"Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed<br /><br />Cash transaction at this branch is capped at S$20,000 per customer for personal account holder only.&nbsp; Denominations are S$10, S$50, S$100 and S$1,000, subject to availability.<br />No Coin Services.<p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>"
Ang Mo Kio - Basement 1,53 Ang Mo Kio Avenue 3 #B1-01 AMK Hub,Singapore 569933,1.36902,103.84812,8318 4321,<p>Business Hours:<br />Mon - Fri: 10.00 AM - 6.00 PM<br />Sat: 10.00 AM - 2.30 PM<br /><br />All Account Opening &amp; Investment only. <br />Cash services available at AMK Hub #03-01/27.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Ang Mo Kio Branch (Main),53 Ang Mo Kio Avenue 3 #03-01/27 AMK Hub,Singapore 569933,1.36902,103.84812,8318 4322,<p>Business Hours:<br />Mon - Fri: 10.00 AM - 6.00 PM<br />Sat: 10.00 AM - 2.30 PM<br /><br />All Cash &amp; Remittance transactions only.<br />Account opening &amp; Investment available at AMK Hub #B1-01.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Thomson Branch,301 Upper Thomson Road #01-45 Thomson Plaza ,Singapore 574408,1.35464,103.83093,8318 4351,<p>Business Hours:<br />Mon &ndash; Fri : 10.00AM to 6.00PM<br />Sat: 10.00AM to 2.30PM<br />Closed on Sunday and Public holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Bishan Branch,9 Bishan Place #01-14 Junction 8 Shopping Centre,Singapore 579837,1.34997,103.84879,8318 4325,<p>Business Hours:<br />Mon &ndash; Fri : 10.00am to 6.00pm<br /> Sat : 10.00am to 2.30pm<br /> Closed on Sundays and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Bukit Timah Branch,1 Jalan Anak Bukit #01-19/20 Bukit Timah Plaza,Singapore 588996,1.3383374,103.7785228,8318 4326,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Westgate Branch,3 Gateway Drive #04-36 Westgate,Singapore 608532,1.3321,103.74072,8318 4354,<p>Business Hours:<br />Mon - Fri: 10.00 AM - 6.00 PM<br />Sat: 10.00 AM - 2.30 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Jurong East Central Branch,21 Jurong Gateway Road #01-03 CPF Jurong Building,Singapore 608546,1.335,103.73978,8318 4368,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Jurong West Branch,Blk 501 Jurong West Street 51 #01-279/281,Singapore 640501,1.35056,103.71907,8318 4370,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Nanyang Estate Branch,Blk 960 Jurong West Street 92 #01-174,Singapore 640960,1.3415,103.69129,8318 4372,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Jurong Point Branch,63 Jurong West Central 3 #B1-47/48/49/50 Jurong Point Shopping Centre,Singapore 648331,1.33942,103.70536,8318 4334,<p>Business Hours:<br />Mon to Fri: 10.00am to 6.00pm<br />Sat : 10.00am to 2.30pm</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Jurong Point Branch,1 Jurong West Central 2 #B1-20 Jurong Point Shopping Centre,Singapore 648886,1.33934,103.70539,8318 4369,<p>Business Hours:<br />Mon - Sat: 11.00 AM to 7.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Bukit Batok Central Branch,Blk 636 Bukit Batok Central #01-02/04,Singapore 650636,1.34971,103.7518,8318 4359,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Bukit Panjang Branch,Blk 260 Bangkit Road #01-15,Singapore 670260,1.3777,103.77409,8318 4360,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Choa Chu Kang Branch,Blk 304 Choa Chu Kang Avenue 4 #01-657/659,Singapore 680304,1.38426,103.7431,8318 4327,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Yew Tee Branch,61 Choa Chu Kang Drive #01-04 Yew Tee MRT Station,Singapore 689715,1.39731,103.74739,8318 4388,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Woodlands West Branch,Blk 303 Woodlands Street 31 #01-191,Singapore 730303,1.43114,103.77411,8318 4386,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Kampung Admiralty Branch,"Block 676 Woodlands Drive 71, Kampung Admiralty, #B1-01",Singapore 730676,1.4401365,103.798413,8318 4387,<p>Business Hours:<br />Mon - Fri : 10.00am - 6.00pm<br />Sat : 10.00am - 2.30pm<br />Closed on Sun and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Woodlands Branch,900 South Woodlands Drive #02-01 Woodlands Civic Centre,Singapore 730900,1.43515,103.78719,8318 4355,<p>Business Hours:<br />Mon - Fri : 10.00am - 6.00pm<br />Sat : 10.00am - 2.30pm</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Woodlands Service Centre,"1 Woodlands Square, #B1-26 Causeway Point ",Singapore 738099,1.43586,103.78622,8318 4356,Business Hours:<br />Mon - Fri : 10.00am - 6.00pm<br />Sat : 10.00am - 2.30pm <br /><br />Financial advisory : <br />Mon to Sat : 10.00am -8.00pm <br /><br />Closed on Sun and Public Holidays. We do not support cash and account opening.<p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Yishun West Branch,Blk 101 Yishun Avenue 5 #01-05,Singapore 760101,1.43058,103.82776,8318 4390,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Yishun North Branch,Blk 290 Yishun Street 22 #01-401,Singapore 760290,1.43611,103.83613,8318 4398,<p>Business Hours:<br />Mon &ndash; Fri: 8.30am to 4.30pm<br />Sat: 8.30am &ndash; 1.00pm<br /> Sundays and Public Holidays: Closed<br /><br />Enjoy round-the-clock branch banking services with our Video Teller Machine (VTM).<br />All cash transactions must be made at ATM and CAM.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Yishun Central Branch,Blk 926 Yishun Central 1 #01-183,Singapore 760926,1.42805,103.83767,8318 4389,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Seletar Mall Branch ,33 Sengkang West Avenue #01-49/50/51/52/53 Seletar Mall,Singapore 797653,1.39108,103.87635,8318 4376,<p>Business Hours:<br />Mon &ndash; Sat: 11.00 AM to 7.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Waterway Point Branch,83 Punggol Central #01-15,Singapore 828761,1.405353,103.901743,8318 4384,<p>Business Hours:<br />Mon - Sat: 11.00 AM - 7.00 PM <br />Closed on Sundays and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
